feature,var_event1,var_event0,min_var,flagged,note
ICD10_chap_XV,0.0,0.0016873257396277297,0.0,True,near-zero variance in event=1 stratum → possible complete separation
ICD10_chap_V,0.0008285004142502071,0.00902925921908458,0.0008285004142502071,True,near-zero variance in event=1 stratum → possible complete separation
ICD10_chap_IX,0.0016556268642976776,0.0018337797258609464,0.0016556268642976776,False,
ICD10_chap_IV,0.00412876242922367,0.0028577480692502616,0.0028577480692502616,False,
APACHE_motor_2,0.01740071757376973,0.0029053127912231167,0.0029053127912231167,False,
ICD10_chap_VI,0.0033057578717844084,0.004171168498696851,0.0033057578717844084,False,
APACHE_motor_3,0.021182323137238373,0.005184749101809161,0.005184749101809161,False,
TREAT_toxicology,0.006617249521745537,0.03889578863097815,0.006617249521745537,False,
ICD10_chap_XIII,0.007407041016953343,0.010685784371090662,0.007407041016953343,False,
ICD10_chap_II,0.013091130923674916,0.013481618075391803,0.013091130923674916,False,
APACHE_meds,0.03724012653819565,0.014242052150853664,0.014242052150853664,False,
eth_asian,0.01695378544303555,0.01624353605076231,0.01624353605076231,False,
APACHE_verbal_2,0.03352795200991186,0.020159113594892007,0.020159113594892007,False,
APACHE_verbal_3,0.038881379703506955,0.030689377394390698,0.030689377394390698,False,
eth_hispanic,0.03266518427385445,0.03779889749276771,0.03266518427385445,False,
TREAT_mechanical_vent,0.03375054403092365,0.11790604579781153,0.03375054403092365,False,
APACHE_dialysis,0.04699458381630125,0.033909481055889465,0.033909481055889465,False,
TREAT_enteral_nutrition,0.03487557362460159,0.048432916482691886,0.03487557362460159,False,
APACHE_motor_1,0.20850972234207338,0.03917518843644329,0.03917518843644329,False,
APACHE_eyes_2,0.08564622453465993,0.042671309052069915,0.042671309052069915,False,
APACHE_motor_4,0.09480890957272488,0.0452904130154593,0.0452904130154593,False,
TREAT_dialysis,0.07469302217170955,0.056157709916168724,0.056157709916168724,False,
APACHE_eyes_1,0.23419157866953144,0.061464522032787954,0.061464522032787954,False,
ICD10_chap_XI,0.10829723242390646,0.06676756343031112,0.06676756343031112,False,
APACHE_motor_5,0.10775478180787854,0.07305598360912581,0.07305598360912581,False,
LAB_magnesium_std,0.166464524667988,0.0733140000845504,0.0733140000845504,False,
LAB_potassium_std,0.12517295052249794,0.08084030839583912,0.08084030839583912,False,
eth_african_american,0.09297903989638637,0.10064174853644796,0.09297903989638637,False,
APACHE_verbal_4,0.10228828071412525,0.11005620261985762,0.10228828071412525,False,
TREAT_surgery,0.1028737667199983,0.1689984921057919,0.1028737667199983,False,
APACHE_intubated,0.2404583863750253,0.11432435082628506,0.11432435082628506,False,
ICD10_chap_XIX,0.11811283268825715,0.17825651092239383,0.11811283268825715,False,
APACHE_eyes_3,0.11837864164104087,0.12345818236649236,0.11837864164104087,False,
APACHE_verbal_1,0.24989490848815316,0.12687795070248142,0.12687795070248142,False,
APACHE_motor_6,0.23957824747649686,0.15397925171717367,0.15397925171717367,False,
ICD10_chap_XVIII,0.16914873299891045,0.15456127975620795,0.15456127975620795,False,
LAB_magnesium_mean,0.25038386565295173,0.16282579642679035,0.16282579642679035,False,
LAB_magnesium_min,0.23784511736812092,0.16609612668721196,0.16609612668721196,False,
APACHE_vent,0.24020759021685084,0.16933262218913092,0.16933262218913092,False,
eth_caucasian,0.1723727584465066,0.18012480438060494,0.1723727584465066,False,
APACHE_verbal_5,0.19231774815690758,0.22489510422098827,0.19231774815690758,False,
APACHE_eyes_4,0.22938620042895513,0.19663316728733718,0.19663316728733718,False,
LAB_magnesium_max,0.6216803370243766,0.2194861855478849,0.2194861855478849,False,
ICD10_chap_X,0.2471692902513118,0.25000994647307134,0.2471692902513118,False,
gender_male,0.24815064187740632,0.24852232046564152,0.24815064187740632,False,
LAB_PT__INR_std,0.6218111152190828,0.27856305753764476,0.27856305753764476,False,
LAB_potassium_mean,0.6995314642358247,0.3225316355615791,0.3225316355615791,False,
LAB_potassium_min,0.7407344132959043,0.3388488897928952,0.3388488897928952,False,
LAB_phosphate_std,0.8271426978150186,0.4080812642247525,0.4080812642247525,False,
LAB_potassium_max,0.9438681933795625,0.4319044841593749,0.4319044841593749,False,
LAB_PT__INR_min,2.1145606188262502,0.6801318396299894,0.6801318396299894,False,
LAB_PT__INR_mean,2.4422859266497956,0.769432075399069,0.769432075399069,False,
LAB_lactate_std,3.000634899727352,0.9441746639153678,0.9441746639153678,False,
VITAL_sao2_max,7.776177272931179,0.9764931462024342,0.9764931462024342,False,
LAB_PT__INR_max,3.29499562487489,0.9923603291916651,0.9923603291916651,False,
VITAL_temperature_std,1.6895231720426498,7.77072067284773,1.6895231720426498,False,
LAB_phosphate_mean,5.503196231791551,1.9315399732401897,1.9315399732401897,False,
LAB_phosphate_min,5.458566480613919,1.9650100236592554,1.9650100236592554,False,
LAB_lactate_min,20.12922741058064,2.058065703794477,2.058065703794477,False,
LAB_phosphate_max,6.558449579862082,2.197172332742385,2.197172332742385,False,
APACHE_bilirubin,10.557434046422234,2.5649601219078484,2.5649601219078484,False,
LAB_lactate_mean,23.933096676207594,2.9090657385990197,2.9090657385990197,False,
APACHE_albumin,3.3204283885488333,3.828537167217533,3.3204283885488333,False,
APACHE_creatinine,4.0315863830162915,3.3636567501366446,3.3636567501366446,False,
VITAL_sao2_std,25.261240647025364,3.495254144015615,3.495254144015615,False,
LAB_lactate_max,32.67401634911318,4.847956439677703,4.847956439677703,False,
VITAL_sao2_mean,47.118474199111944,5.77555233026475,5.77555233026475,False,
VITAL_respiration_std,13.35452811712065,6.311118001257115,6.311118001257115,False,
APACHE_ph,17.175001233360373,11.587394354227818,11.587394354227818,False,
VITAL_heartrate_std,50.47714967324235,16.409102630530494,16.409102630530494,False,
VITAL_respiration_mean,41.2157038079194,23.669189486184536,23.669189486184536,False,
VITAL_respiration_min,56.22809996212037,30.223585383614925,30.223585383614925,False,
APACHE_temperature,98.24132141625614,68.68218237115667,68.68218237115667,False,
VITAL_temperature_mean,85.12254500093348,69.72311956576903,69.72311956576903,False,
APACHE_wbc,191.62568787806774,73.67575787534302,73.67575787534302,False,
VITAL_temperature_max,91.77142079235611,74.89838424154408,74.89838424154408,False,
VITAL_temperature_min,97.30254226274019,1220.7070733841383,97.30254226274019,False,
VITAL_sao2_min,548.5694439452217,118.55577631972692,118.55577631972692,False,
VITAL_respiration_max,367.0653267716444,196.29715758930936,196.29715758930936,False,
APACHE_hematocrit,210.74736315002227,230.49347201033615,210.74736315002227,False,
APACHE_respiratoryrate,228.16472761400678,228.47154081417088,228.16472761400678,False,
age,231.77759117628585,296.5168430536859,231.77759117628585,False,
VITAL_heartrate_mean,399.2912363438235,256.5076279283214,256.5076279283214,False,
VITAL_heartrate_min,988.9325894394176,284.69029093062295,284.69029093062295,False,
VITAL_cvp_min,713.6500854520989,347.692427696298,347.692427696298,False,
APACHE_pco2,571.0769742728257,356.148923495278,356.148923495278,False,
VITAL_heartrate_max,670.0812720427132,466.44531894561976,466.44531894561976,False,
APACHE_bun,784.3929539864178,479.46730325389404,479.46730325389404,False,
APACHE_fio2,1774.4596899527637,682.0638494286991,682.0638494286991,False,
APACHE_heartrate,1423.441939932075,942.4908824229735,942.4908824229735,False,
VITAL_cvp_std,2323.447203430979,1369.6494183086788,1369.6494183086788,False,
APACHE_meanbp,2407.54006158832,1724.539367383715,1724.539367383715,False,
APACHE_sodium,2602.1998483086027,3051.6322226258385,2602.1998483086027,False,
VITAL_cvp_mean,5516.609793283074,2677.426729452143,2677.426729452143,False,
APACHE_pao2,9075.900430787671,4308.039852622066,4308.039852622066,False,
APACHE_glucose,16611.30993037354,11622.570966941079,11622.570966941079,False,
VITAL_cvp_max,18473.75841033588,14924.0520561431,14924.0520561431,False,
APACHE_urine,1657946.624273445,2631733.3775283955,1657946.624273445,False,
